STATE,YEAR,POPULATION
Connecticut,1959," 2,523,000 "
Delaware,1959," 441,000 "
Florida,1959," 4,808,000 "
Georgia,1959," 3,868,000 "
Hawaii,1959," 622,000 "
Idaho,1959," 657,000 "
Illinois,1959," 9,986,000 "
Indiana,1959," 4,613,000 "
Iowa,1959," 2,729,000 "
Kansas,1959," 2,160,000 "
Kentucky,1959," 2,999,000 "
Louisiana,1959," 3,208,000 "
Maine,1959," 957,000 "
Maryland,1959," 3,066,000 "
Massachusetts,1959," 5,117,000 "
Michigan,1959," 7,767,000 "
Minnesota,1959," 3,366,000 "
Mississippi,1959," 2,138,000 "
Missouri,1959," 4,258,000 "
Montana,1959," 669,000 "
Nebraska,1959," 1,397,000 "
Nevada,1959," 279,000 "
New Hampshire,1959," 279,000 "
New Jersey,1959," 6,015,000 "
New Mexico,1959," 6,015,000 "
New York,1959," 16,685,000 "
North Carolina,1959," 4,458,000 "
North Dakota,1959," 618,000 "
Ohio,1959," 9,671,000 "
Oklahoma,1959," 2,289,000 "
Oregon,1959," 1,746,000 "
Pennsylvania,1959," 11,234,000 "
Rhode Island,1959," 857,000 "
South Carolina,1959," 2,348,000 "
South Dakota,1959," 667,000 "
Tennessee,1959," 3,522,000 "
Texas,1959," 9,405,000 "
District of Columbia,1959," 761,000 "
Utah,1959," 870,000 "
Vermont,1959," 387,000 "
Virginia,1959," 3,951,000 "
Washington,1959," 2,821,000 "
West Virginia,1959," 1,855,000 "
Wisconsin,1959," 3,891,000 "
Wyoming,1959," 320,000 "
Alaska,1960," 229,000 "
Alabama,1960," 3,274,000 "
Arkansas,1960," 1,789,000 "
Arizona,1960," 1,321,000 "
California,1960," 15,870,000 "
Colorado,1960," 1,769,000 "
Connecticut,1960," 2,544,000 "
Delaware,1960," 449,000 "
Florida,1960," 5,004,000 "
Georgia,1960," 3,956,000 "
Hawaii,1960," 642,000 "
Idaho,1960," 671,000 "
Illinois,1960," 10,086,000 "
Indiana,1960," 4,674,000 "
Iowa,1960," 2,756,000 "
Kansas,1960," 2,183,000 "
Kentucky,1960," 3,041,000 "
Louisiana,1960," 3,260,000 "
Maine,1960," 975,000 "
Maryland,1960," 3,113,000 "
Massachusetts,1960," 5,160,000 "
Michigan,1960," 7,834,000 "
Minnesota,1960," 3,425,000 "
Mississippi,1960," 2,182,000 "
Missouri,1960," 4,326,000 "
Montana,1960," 679,000 "
Nebraska,1960," 1,417,000 "
Nevada,1960," 291,000 "
New Hampshire,1960," 291,000 "
New Jersey,1960," 6,103,000 "
New Mexico,1960," 6,103,000 "
New York,1960," 16,838,000 "
North Carolina,1960," 4,573,000 "
North Dakota,1960," 634,000 "
Ohio,1960," 9,734,000 "
Oklahoma,1960," 2,336,000 "
Oregon,1960," 1,772,000 "
Pennsylvania,1960," 11,329,000 "
Rhode Island,1960," 855,000 "
South Carolina,1960," 2,392,000 "
South Dakota,1960," 683,000 "
Tennessee,1960," 3,575,000 "
Texas,1960," 9,624,000 "
District of Columbia,1960," 765,000 "
Utah,1960," 900,000 "
Vermont,1960," 389,000 "
Virginia,1960," 3,986,000 "
Washington,1960," 2,855,000 "
West Virginia,1960," 1,853,000 "
Wisconsin,1960," 3,962,000 "
Wyoming,1960," 331,000 "
Alaska,1961," 238,000 "
Alabama,1961," 3,316,000 "
Arkansas,1961," 1,806,000 "
Arizona,1961," 1,407,000 "
California,1961," 16,497,000 "
Colorado,1961," 1,844,000 "
Connecticut,1961," 2,586,000 "
Delaware,1961," 461,000 "
Florida,1961," 5,243,000 "
Georgia,1961," 4,015,000 "
Hawaii,1961," 659,000 "
Idaho,1961," 684,000 "
Illinois,1961," 10,130,000 "
Indiana,1961," 4,730,000 "
Iowa,1961," 2,756,000 "
Kansas,1961," 2,215,000 "
Kentucky,1961," 3,054,000 "
Louisiana,1961," 3,287,000 "
Maine,1961," 995,000 "
Maryland,1961," 3,176,000 "
Massachusetts,1961," 5,219,000 "
Michigan,1961," 7,893,000 "
Minnesota,1961," 3,470,000 "
Mississippi,1961," 2,206,000 "
Missouri,1961," 4,349,000 "
Montana,1961," 696,000 "
Nebraska,1961," 1,446,000 "
